non_monetary_barrier,verbatim_quote
Waiting for Occasion,how can we order things from myntra for a pre-planned function
Out of Stock,If I add something in my cart then why has it gone out of stock
Out of Stock,"i have added items to cart but when i was going to place the order, it is showing not deliverable at your selected pincode?"
Sizing Issues,Size chars are always confusng.You almost every time get the sizes of lothes wrong
Out of Stock,i was waiting since months for the sale and all i hear after order is they can't deliver
Out of Stock,"After getting the product after 23 days the color was wrong of the dress. To chk the exchange, the price is 3 times high and product is Out of Stock"
Out of Stock,recieved the same old used product with same stain and visible yellow marks.... disgusting seller and disgusting product quality
Out of Stock,"So it got cancelled twice, and now it is out of stock."
Sizing Issues,this was very tight
